nome,partido,uf,PDC 141/1991,PDC 82/1991,PEC 51/1990,PEC 51/1990,PEC 51/1990,PEC 51/1990,PEC 51/1990,PEC 51/1990,PEC 51/1990,PEC 51/1990,PEC 51/1990,PEC 61/1990,PEC 61/1990,PEC 82/1991,PEC 82/1991,PEC 82/1991,PL 1258/1988,PL 1258/1988,PL 1258/1988,PL 1991/1991,PL 202/1991,PL 202/1991,PL 202/1991,PL 2145/1991,PL 2592/1992,PL 2592/1992,PL 2747/1992,PL 2747/1992,PL 2747/1992,PL 2747/1992,PL 2920/1992,PL 2990/1992,PL 2990/1992,PL 3031/1992,PL 3387/1992,PL 3399/1992,PL 4573/1990,PL 4573/1990,PL 5051/1990,PL 8/1991,PRC 93/1992,PRC 93/1992
Benedita da Silva,PT,RJ,0,-1,-1,1,-1,0,1,-1,0,1,-1,1,1,0,1,1,1,0,0,-1,0,0,-1,1,-1,-1,-1,-1,-1,1,1,-1,0,0,0,1,1,0,0,0,0,0
Eduardo Jorge,PT,SP,1,0,-1,1,-1,0,1,-1,-1,1,-1,1,1,0,1,1,1,0,0,-1,0,0,0,1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,1,0,-1,1,-1,-1
Ivanio Guerra,PFL,PR,0,1,1,1,1,1,1,0,0,1,-1,1,1,0,0,1,0,0,0,1,1,1,1,-1,0,1,1,1,1,-1,1,1,1,1,0,-1,-1,0,1,0,1,1
Sarney Filho,PFL,MA,0,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,0,0
Gonzaga Mota,PMDB,CE,1,0,1,1,1,1,1,0,0,1,-1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,-1,-1,-1,0,1,1,1,0,1,0,1,1,0,0,1,1
Moroni Torgan,PSDB,CE,0,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0,-1,0,0,1,1,-1,1,-1,-1,-1,1,0,1,1,0,1,1,1,-1,1,0,1,1
Antônio Geraldo,PFL,PE,0,1,0,0,0,0,-1,0,0,1,-1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,-1,1,0,1,0,0,0,-1,1,0,0,0,0
José Múcio Monteiro,PFL,PE,0,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,-1,1,0,1,1,0,0,0,1,0,0,0,0
Sergio Guerra,PSB,PE,0,0,-1,-1,-1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0
Leur Lomanto,PFL,BA,0,0,1,1,1,0,1,0,0,1,-1,1,0,0,0,1,0,0,0,1,0,0,1,-1,0,0,1,1,1,-1,1,0,1,1,0,0,-1,1,0,0,0,0
Manoel Castro,PFL,BA,0,1,1,1,1,1,1,0,0,1,-1,1,1,0,1,1,0,0,0,1,1,1,0,-1,1,1,1,1,1,-1,1,1,1,0,0,-1,-1,0,0,0,0,0
Flávio Arns,PSDB,PR,0,1,1,1,1,0,1,0,0,1,-1,1,1,0,1,1,0,0,0,-1,0,0,1,1,-1,1,0,0,0,1,1,1,1,0,0,1,0,-1,0,0,1,1
